train_loss, test_loss 
2.1681, 2.3897
2.1416, 2.4065
2.1682, 2.3760
2.1551, 2.3882
2.1738, 2.3699
2.1470, 2.3727
2.1774, 2.3566
2.1545, 2.3828
2.1616, 2.3778
2.1305, 2.3722
2.1466, 2.3698
2.1331, 2.3724
2.1751, 2.3543
2.1854, 2.3687
2.1643, 2.3616
2.1879, 2.3849
2.1492, 2.4018
2.1773, 2.3645
2.1590, 2.3784
2.1621, 2.3480
2.1580, 2.4075
2.1862, 2.3614
2.1453, 2.3638
2.1691, 2.3794
2.1750, 2.3924
2.1739, 2.3705
2.1634, 2.3926
2.1633, 2.3722
2.1608, 2.3758
2.1683, 2.3632
2.1462, 2.3882
2.1424, 2.2964
2.1725, 2.3142
2.1755, 2.4108
2.1618, 2.2078
2.1613, 2.2579
2.1227, 2.2539
2.1336, 2.2955
2.1560, 2.2637
2.1685, 2.2508
2.1808, 2.2728
2.1866, 2.3599
2.1849, 2.1828
2.1447, 2.6217
2.2247, 2.2885
2.1714, 2.2408
2.1695, 2.3234
2.1642, 2.2084
2.1352, 2.1489
2.1477, 2.3135
2.1575, 2.2732
2.1710, 3.0250
2.1558, 2.2799
2.1274, 2.2303
2.1633, 2.2173
2.1610, 2.1431
2.1575, 2.3015
2.1356, 2.2268
2.1406, 2.1847
2.1490, 2.2777
2.1680, 2.2548
2.1707, 2.1616
2.1818, 2.2131
2.1520, 2.3158
2.1686, 2.5202
2.1536, 2.3060
2.1576, 2.1884
2.1395, 2.2285
2.1299, 2.2403
2.1477, 2.2702
2.1700, 2.2009
2.1383, 2.9383
2.1667, 3.2387
2.1213, 2.2886
2.1937, 2.2176
2.1671, 3.1061
2.1695, 2.2396
2.1466, 2.4588
2.1600, 2.1493
2.1804, 2.8957
2.1253, 2.2978
2.1538, 2.6588
2.1818, 2.2772
2.1463, 2.2946
2.1254, 2.2422
2.1490, 2.1073
2.1236, 2.5788
2.1480, 2.1899
2.1599, 2.3056
2.1508, 2.4721
2.1551, 2.2204
2.1754, 2.5720
2.1203, 2.2010
2.1617, 2.2282
2.1197, 2.1947
2.0968, 2.2493
2.1680, 2.2513
2.1525, 2.4052
2.2284, 2.2329
2.1433, 2.2081
2.1565, 2.3363
2.1185, 2.6236
2.1747, 2.7920
2.1158, 2.1982
2.1329, 2.1955
2.1417, 2.3065
2.1441, 2.3213
2.1204, 2.2321
2.1339, 2.2238
2.1528, 2.2193
2.1362, 2.2418
